home_team,away_team,home_score,away_score,year,round,weekday,day,month,game_type,venue,attendance
North Melbourne,Brisbane,104,137,1987,1,Fri,27,3,regular,MCG,14096
Western Bulldogs,Essendon,62,121,1987,1,Sat,28,3,regular,Waverley Park,22550
Carlton,Hawthorn,104,149,1987,1,Sat,28,3,regular,Princes Park,19967
Collingwood,Sydney,74,165,1987,1,Sat,28,3,regular,Victoria Park,17129
Melbourne,Fitzroy,128,89,1987,1,Sat,28,3,regular,MCG,18012
St Kilda,Geelong,101,102,1987,1,Sat,28,3,regular,Gold Coast Stadium,15867
West Coast,Richmond,133,119,1987,1,Sun,29,3,regular,Patersons Stadium,23897
North Melbourne,Melbourne,92,59,1987,2,Fri,3,4,regular,MCG,19035
Geelong,Brisbane,131,150,1987,2,Sat,4,4,regular,Skilled Stadium,15231
Collingwood,Carlton,107,114,1987,2,Sat,4,4,regular,Waverley Park,29481
Essendon,West Coast,119,114,1987,2,Sat,4,4,regular,North Hobart,19845
Fitzroy,St Kilda,159,115,1987,2,Sat,4,4,regular,Princes Park,11348
Richmond,Hawthorn,93,155,1987,2,Sat,4,4,regular,MCG,17824
Sydney,Western Bulldogs,187,79,1987,2,Sun,5,4,regular,SCG,15268
Fitzroy,North Melbourne,129,55,1987,3,Fri,10,4,regular,Waverley Park,10043
Richmond,Essendon,130,84,1987,3,Sat,11,4,regular,MCG,27528
St Kilda,Brisbane,133,83,1987,3,Sat,11,4,regular,Gold Coast Stadium,12717
Western Bulldogs,Carlton,40,127,1987,3,Sat,11,4,regular,Western Oval,14492
Hawthorn,Collingwood,145,68,1987,3,Sat,11,4,regular,Princes Park,14058
Geelong,Melbourne,128,94,1987,3,Sat,11,4,regular,Skilled Stadium,15397
West Coast,Sydney,97,124,1987,3,Sun,12,4,regular,Patersons Stadium,35719
Carlton,West Coast,191,104,1987,4,Sat,18,4,regular,Princes Park,20750
Geelong,North Melbourne,127,136,1987,4,Sat,18,4,regular,Skilled Stadium,18628
Melbourne,St Kilda,139,92,1987,4,Sat,18,4,regular,MCG,25465
Brisbane,Fitzroy,114,129,1987,4,Sun,19,4,regular,Gold Coast Stadium,17795
Collingwood,Richmond,110,100,1987,4,Mon,20,4,regular,Waverley Park,36749
Essendon,Sydney,113,66,1987,4,Mon,20,4,regular,North Hobart,24207
Western Bulldogs,Hawthorn,96,55,1987,4,Mon,20,4,regular,Western Oval,10425
North Melbourne,St Kilda,127,110,1987,5,Fri,24,4,regular,MCG,16078
Carlton,Essendon,116,62,1987,5,Sat,25,4,regular,Waverley Park,56124
Collingwood,Western Bulldogs,89,85,1987,5,Sat,25,4,regular,Victoria Park,22059
Geelong,Fitzroy,184,109,1987,5,Sat,25,4,regular,Skilled Stadium,18236
Hawthorn,West Coast,92,104,1987,5,Sat,25,4,regular,Princes Park,10588
Richmond,Sydney,126,146,1987,5,Sat,25,4,regular,MCG,22154
Brisbane,Melbourne,86,81,1987,5,Sun,26,4,regular,Gold Coast Stadium,7451
Sydney,Carlton,94,87,1987,6,Fri,1,5,regular,SCG,33659
Melbourne,Richmond,110,69,1987,6,Sat,2,5,regular,MCG,18482
Collingwood,Brisbane,105,58,1987,6,Sat,2,5,regular,Victoria Park,16712
Essendon,Geelong,96,96,1987,6,Sat,2,5,regular,North Hobart,16042
Western Bulldogs,St Kilda,78,34,1987,6,Sat,2,5,regular,Waverley Park,12834
Fitzroy,Hawthorn,104,113,1987,6,Sun,3,5,regular,MCG,18694
West Coast,North Melbourne,162,88,1987,6,Sun,3,5,regular,Patersons Stadium,28543
West Coast,Brisbane,81,62,1987,7,Fri,8,5,regular,WACA,25799
Carlton,Geelong,150,94,1987,7,Sat,9,5,regular,Waverley Park,31000
Melbourne,Collingwood,126,80,1987,7,Sat,9,5,regular,MCG,49215
Fitzroy,Essendon,159,134,1987,7,Sat,9,5,regular,Princes Park,14103
Western Bulldogs,North Melbourne,88,122,1987,7,Sat,9,5,regular,Western Oval,13395
St Kilda,Richmond,137,114,1987,7,Sat,9,5,regular,Gold Coast Stadium,14909
Sydney,Hawthorn,122,114,1987,7,Sun,10,5,regular,SCG,22273
Sydney,Fitzroy,87,116,1987,8,Fri,15,5,regular,SCG,24358
Collingwood,Essendon,68,94,1987,8,Sat,16,5,regular,Waverley Park,28085
Melbourne,Western Bulldogs,81,105,1987,8,Sat,16,5,regular,MCG,16325
Hawthorn,Geelong,112,65,1987,8,Sat,16,5,regular,Princes Park,9382
St Kilda,West Coast,97,49,1987,8,Sat,16,5,regular,Gold Coast Stadium,11537
Brisbane,Richmond,144,109,1987,8,Sun,17,5,regular,Gold Coast Stadium,7943
North Melbourne,Carlton,71,105,1987,8,Sun,17,5,regular,MCG,26684
Richmond,North Melbourne,94,128,1987,9,Fri,22,5,regular,MCG,14220
Western Bulldogs,Brisbane,103,71,1987,9,Sat,23,5,regular,Western Oval,10873
Carlton,Fitzroy,92,70,1987,9,Sat,23,5,regular,Princes Park,26965
Collingwood,St Kilda,105,99,1987,9,Sat,23,5,regular,Victoria Park,20076
Hawthorn,Essendon,165,51,1987,9,Sat,23,5,regular,Waverley Park,32634
Geelong,Sydney,104,79,1987,9,Sun,24,5,regular,Skilled Stadium,24817
West Coast,Melbourne,135,119,1987,9,Sun,24,5,regular,Patersons Stadium,23366
Carlton,Brisbane,184,81,1987,10,Sat,30,5,regular,Princes Park,13541
Essendon,Melbourne,80,102,1987,10,Sat,30,5,regular,North Hobart,13796
Western Bulldogs,Fitzroy,79,46,1987,10,Sat,30,5,regular,Western Oval,12722
Richmond,Geelong,97,118,1987,10,Sat,30,5,regular,MCG,16854
Hawthorn,St Kilda,154,98,1987,10,Sat,30,5,regular,Waverley Park,15535
Sydney,North Melbourne,136,145,1987,10,Sun,31,5,regular,SCG,20084
West Coast,Collingwood,137,80,1987,10,Mon,1,6,regular,Patersons Stadium,38274
St Kilda,Essendon,106,121,1987,11,Sat,6,6,regular,Gold Coast Stadium,23725
Western Bulldogs,West Coast,121,99,1987,11,Sat,6,6,regular,Western Oval,15089
North Melbourne,Hawthorn,91,113,1987,11,Sat,6,6,regular,Waverley Park,23606
Brisbane,Sydney,64,137,1987,11,Sun,7,6,regular,Gold Coast Stadium,12036
Melbourne,Carlton,90,135,1987,11,Mon,8,6,regular,MCG,49812
Geelong,Collingwood,115,110,1987,11,Mon,8,6,regular,Waverley Park,33150
Fitzroy,Richmond,123,149,1987,11,Mon,8,6,regular,Princes Park,12152
North Melbourne,Essendon,100,64,1987,12,Fri,12,6,regular,MCG,23944
Richmond,Western Bulldogs,74,142,1987,12,Sat,13,6,regular,Waverley Park,16279
Carlton,St Kilda,97,96,1987,12,Sat,13,6,regular,Princes Park,16238
Collingwood,Fitzroy,106,80,1987,12,Sat,13,6,regular,Victoria Park,17840
Geelong,West Coast,91,85,1987,12,Sat,13,6,regular,Skilled Stadium,17504
Melbourne,Sydney,76,112,1987,12,Sat,13,6,regular,MCG,21696
Brisbane,Hawthorn,70,165,1987,12,Sun,14,6,regular,Gold Coast Stadium,7284
West Coast,Fitzroy,114,42,1987,13,Fri,19,6,regular,WACA,13540
Richmond,Carlton,27,43,1987,13,Sat,20,6,regular,MCG,15916
Western Bulldogs,Geelong,89,50,1987,13,Sat,20,6,regular,Western Oval,15749
Hawthorn,Melbourne,44,57,1987,13,Sat,20,6,regular,Princes Park,7631
Collingwood,North Melbourne,18,72,1987,13,Sat,20,6,regular,Waverley Park,17613
Essendon,Brisbane,64,27,1987,13,Sat,20,6,regular,North Hobart,8724
Sydney,St Kilda,134,75,1987,13,Sun,21,6,regular,SCG,17760
Sydney,Collingwood,101,74,1987,14,Fri,26,6,regular,SCG,20133
Hawthorn,Carlton,80,79,1987,14,Sat,27,6,regular,Waverley Park,44385
Essendon,Western Bulldogs,52,64,1987,14,Sat,27,6,regular,North Hobart,17364
Fitzroy,Melbourne,82,34,1987,14,Sat,27,6,regular,Princes Park,7544
Geelong,St Kilda,98,27,1987,14,Sat,27,6,regular,Skilled Stadium,13661
Richmond,West Coast,73,69,1987,14,Sat,27,6,regular,MCG,8926
Brisbane,North Melbourne,113,151,1987,14,Sun,28,6,regular,Gold Coast Stadium,7716
West Coast,Essendon,118,146,1987,15,Fri,3,7,regular,WACA,15740
Hawthorn,Richmond,134,77,1987,15,Sat,4,7,regular,Princes Park,9708
St Kilda,Fitzroy,134,100,1987,15,Sat,4,7,regular,Gold Coast Stadium,15201
Western Bulldogs,Sydney,73,106,1987,15,Sat,4,7,regular,Waverley Park,27075
Melbourne,North Melbourne,110,112,1987,15,Sat,4,7,regular,MCG,17108
Brisbane,Geelong,119,78,1987,15,Sun,5,7,regular,Gold Coast Stadium,9370
Carlton,Collingwood,136,112,1987,15,Sun,5,7,regular,MCG,47813
West Coast,Carlton,107,104,1987,15,Fri,10,7,regular,WACA,21780
North Melbourne,Fitzroy,156,123,1987,15,Sat,11,7,regular,MCG,15244
Hawthorn,Western Bulldogs,162,65,1987,15,Sat,11,7,regular,Princes Park,13971
Essendon,Richmond,137,83,1987,15,Sat,11,7,regular,North Hobart,13593
Brisbane,St Kilda,93,121,1987,15,Sun,12,7,regular,Gold Coast Stadium,9106
North Melbourne,Geelong,79,176,1987,15,Sat,18,7,regular,MCG,20880
Carlton,Western Bulldogs,133,78,1987,15,Sat,18,7,regular,Princes Park,21388
Collingwood,Hawthorn,43,168,1987,15,Sat,18,7,regular,Victoria Park,17370
St Kilda,Melbourne,114,68,1987,15,Sat,18,7,regular,Waverley Park,20354
North Melbourne,Fitzroy,156,123,1987,16,Sat,11,7,regular,MCG,15244
Hawthorn,Western Bulldogs,162,65,1987,16,Sat,11,7,regular,Princes Park,13971
Essendon,Richmond,137,83,1987,16,Sat,11,7,regular,North Hobart,13593
Brisbane,St Kilda,93,121,1987,16,Sun,12,7,regular,Gold Coast Stadium,9106
North Melbourne,Geelong,79,176,1987,16,Sat,18,7,regular,MCG,20880
Carlton,Western Bulldogs,133,78,1987,16,Sat,18,7,regular,Princes Park,21388
Collingwood,Hawthorn,43,168,1987,16,Sat,18,7,regular,Victoria Park,17370
St Kilda,Melbourne,114,68,1987,16,Sat,18,7,regular,Waverley Park,20354
Sydney,West Coast,201,71,1987,16,Sun,19,7,regular,SCG,24199
Melbourne,Geelong,117,77,1987,16,Sat,25,7,regular,Waverley Park,15253
West Coast,Carlton,107,104,1987,17,Fri,10,7,regular,WACA,21780
North Melbourne,Fitzroy,156,123,1987,17,Sat,11,7,regular,MCG,15244
Hawthorn,Western Bulldogs,162,65,1987,17,Sat,11,7,regular,Princes Park,13971
Essendon,Richmond,137,83,1987,17,Sat,11,7,regular,North Hobart,13593
Brisbane,St Kilda,93,121,1987,17,Sun,12,7,regular,Gold Coast Stadium,9106
North Melbourne,Geelong,79,176,1987,17,Sat,18,7,regular,MCG,20880
Carlton,Western Bulldogs,133,78,1987,17,Sat,18,7,regular,Princes Park,21388
Collingwood,Hawthorn,43,168,1987,17,Sat,18,7,regular,Victoria Park,17370
St Kilda,Melbourne,114,68,1987,17,Sat,18,7,regular,Waverley Park,20354
Sydney,West Coast,201,71,1987,17,Sun,19,7,regular,SCG,24199
Melbourne,Geelong,117,77,1987,17,Sat,25,7,regular,Waverley Park,15253
Fitzroy,Brisbane,131,106,1987,17,Sat,25,7,regular,Princes Park,5759
Richmond,Collingwood,128,89,1987,17,Sat,25,7,regular,MCG,17370
Sydney,Essendon,236,73,1987,17,Sun,26,7,regular,SCG,23009
Sydney,Richmond,198,107,1987,18,Fri,31,7,regular,SCG,17157
Essendon,Carlton,69,70,1987,18,Sat,1,8,regular,Waverley Park,29761
Melbourne,Brisbane,153,99,1987,18,Sat,1,8,regular,MCG,10307
Western Bulldogs,Collingwood,65,54,1987,18,Sat,1,8,regular,Western Oval,14514
Fitzroy,Geelong,129,87,1987,18,Sat,1,8,regular,Princes Park,8434
St Kilda,North Melbourne,106,81,1987,18,Sat,1,8,regular,Gold Coast Stadium,18968
West Coast,Hawthorn,115,114,1987,18,Sun,2,8,regular,Patersons Stadium,24502
North Melbourne,West Coast,120,109,1987,19,Fri,7,8,regular,WACA,22540
Carlton,Sydney,123,55,1987,19,Sat,8,8,regular,Princes Park,31639
Geelong,Essendon,92,65,1987,19,Sat,8,8,regular,Skilled Stadium,19103
Hawthorn,Fitzroy,165,105,1987,19,Sat,8,8,regular,Waverley Park,14692
St Kilda,Western Bulldogs,104,101,1987,19,Sat,8,8,regular,Gold Coast Stadium,23080
Richmond,Melbourne,100,119,1987,19,Sat,8,8,regular,MCG,15899
Brisbane,Collingwood,77,100,1987,19,Sun,9,8,regular,Gold Coast Stadium,9166
Geelong,Carlton,88,156,1987,20,Sat,15,8,regular,Skilled Stadium,22328
Collingwood,Melbourne,59,114,1987,20,Sat,15,8,regular,Victoria Park,16540
Essendon,Fitzroy,127,86,1987,20,Sat,15,8,regular,North Hobart,12466
North Melbourne,Western Bulldogs,125,125,1987,20,Sat,15,8,regular,MCG,18921
Hawthorn,Sydney,142,97,1987,20,Sat,15,8,regular,Princes Park,20522
Richmond,St Kilda,133,57,1987,20,Sat,15,8,regular,Waverley Park,27589
Brisbane,West Coast,119,140,1987,20,Sun,16,8,regular,Gold Coast Stadium,4859
Melbourne,West Coast,129,68,1987,21,Fri,21,8,regular,MCG,21048
Fitzroy,Carlton,84,124,1987,21,Sat,22,8,regular,Princes Park,15729
St Kilda,Collingwood,107,58,1987,21,Sat,22,8,regular,Gold Coast Stadium,24335
Essendon,Hawthorn,64,114,1987,21,Sat,22,8,regular,Waverley Park,27046
North Melbourne,Richmond,122,84,1987,21,Sat,22,8,regular,MCG,15073
Brisbane,Western Bulldogs,71,153,1987,21,Sun,23,8,regular,Gold Coast Stadium,5890
Sydney,Geelong,122,131,1987,21,Sun,23,8,regular,SCG,23953
Richmond,Brisbane,113,169,1987,22,Fri,28,8,regular,MCG,12079
Carlton,North Melbourne,129,125,1987,22,Sat,29,8,regular,Waverley Park,30444
Fitzroy,Sydney,133,141,1987,22,Sat,29,8,regular,Princes Park,11170
Western Bulldogs,Melbourne,68,83,1987,22,Sat,29,8,regular,Western Oval,31249
Geelong,Hawthorn,123,126,1987,22,Sat,29,8,regular,Skilled Stadium,27030
Essendon,Collingwood,139,144,1987,22,Sun,30,8,regular,MCG,28887
West Coast,St Kilda,175,87,1987,22,Sun,30,8,regular,Patersons Stadium,17617
Hawthorn,Sydney,156,57,1987,23,Sat,5,9,finals,Waverley Park,47752
Melbourne,North Melbourne,158,40,1987,23,Sun,6,9,finals,MCG,72628
Carlton,Hawthorn,80,65,1987,23,Sat,12,9,finals,Waverley Park,64333
Melbourne,Sydney,149,73,1987,23,Sun,13,9,finals,MCG,80292
Hawthorn,Melbourne,80,78,1987,23,Sat,19,9,finals,Waverley Park,71298
Carlton,Hawthorn,104,71,1987,23,Sat,26,9,finals,MCG,92754
Carlton,Hawthorn,126,111,1988,1,Sat,2,4,regular,Princes Park,27266
Essendon,North Melbourne,164,82,1988,1,Sat,2,4,regular,North Hobart,18410
Geelong,West Coast,83,104,1988,1,Sat,2,4,regular,Skilled Stadium,20781
Brisbane,Collingwood,75,83,1988,1,Sun,3,4,regular,Gold Coast Stadium,11306
Fitzroy,St Kilda,140,118,1988,1,Mon,4,4,regular,Princes Park,17609
Western Bulldogs,Sydney,102,76,1988,1,Mon,4,4,regular,Waverley Park,18980
Richmond,Melbourne,108,154,1988,1,Mon,4,4,regular,MCG,34824
West Coast,Essendon,175,76,1988,2,Fri,8,4,regular,WACA,24886
Carlton,Brisbane,129,61,1988,2,Sat,9,4,regular,Princes Park,15805
Collingwood,Fitzroy,102,70,1988,2,Sat,9,4,regular,Victoria Park,24314
Western Bulldogs,Melbourne,66,86,1988,2,Sat,9,4,regular,Western Oval,15693
North Melbourne,Geelong,127,142,1988,2,Sat,9,4,regular,MCG,15233
Hawthorn,Richmond,171,86,1988,2,Sat,9,4,regular,Waverley Park,18082
Sydney,St Kilda,66,55,1988,2,Sun,10,4,regular,SCG,9089
Essendon,Carlton,79,151,1988,3,Sat,16,4,regular,North Hobart,21472
Richmond,Collingwood,80,150,1988,3,Sat,16,4,regular,Waverley Park,34444
Western Bulldogs,Fitzroy,108,57,1988,3,Sat,16,4,regular,Western Oval,12783
Melbourne,Geelong,72,64,1988,3,Sat,16,4,regular,MCG,30873
Hawthorn,Sydney,114,93,1988,3,Sat,16,4,regular,Princes Park,9802
St Kilda,North Melbourne,108,82,1988,3,Sat,16,4,regular,Gold Coast Stadium,16573
Brisbane,West Coast,74,192,1988,3,Sun,17,4,regular,WACA,16354
Melbourne,Brisbane,96,41,1988,4,Fri,22,4,regular,MCG,18908
Collingwood,West Coast,94,55,1988,4,Sat,23,4,regular,Victoria Park,26276
Hawthorn,Fitzroy,120,106,1988,4,Sat,23,4,regular,Princes Park,13205
North Melbourne,Western Bulldogs,125,87,1988,4,Sat,23,4,regular,Waverley Park,14948
Sydney,Carlton,80,166,1988,4,Sun,24,4,regular,SCG,16091
St Kilda,Essendon,69,91,1988,4,Mon,25,4,regular,Gold Coast Stadium,31679
Richmond,Geelong,82,161,1988,4,Mon,25,4,regular,MCG,27417
West Coast,Western Bulldogs,100,93,1988,5,Fri,29,4,regular,WACA,17662
St Kilda,Brisbane,84,93,1988,5,Sat,30,4,regular,Gold Coast Stadium,15260
Carlton,Collingwood,69,97,1988,5,Sat,30,4,regular,Waverley Park,76354
Geelong,Essendon,116,92,1988,5,Sat,30,4,regular,Skilled Stadium,23840
Fitzroy,Richmond,91,153,1988,5,Sat,30,4,regular,Princes Park,8808
North Melbourne,Hawthorn,128,205,1988,5,Sat,30,4,regular,MCG,15438
Sydney,Melbourne,89,116,1988,5,Sun,1,5,regular,SCG,9269
North Melbourne,West Coast,123,110,1988,6,Fri,6,5,regular,MCG,10133
Carlton,St Kilda,72,32,1988,6,Sat,7,5,regular,Princes Park,15617
Collingwood,Hawthorn,91,93,1988,6,Sat,7,5,regular,Waverley Park,53184
Melbourne,Essendon,68,101,1988,6,Sat,7,5,regular,MCG,34697
Western Bulldogs,Richmond,91,46,1988,6,Sat,7,5,regular,Western Oval,12374
Brisbane,Fitzroy,113,111,1988,6,Sun,8,5,regular,Gold Coast Stadium,9981
Geelong,Sydney,111,114,1988,6,Sun,8,5,regular,Skilled Stadium,19132
West Coast,St Kilda,112,36,1988,7,Fri,13,5,regular,WACA,12803
Geelong,Carlton,104,93,1988,7,Sat,14,5,regular,Waverley Park,26372
Essendon,Collingwood,119,75,1988,7,Sat,14,5,regular,North Hobart,24224
Fitzroy,Sydney,106,67,1988,7,Sat,14,5,regular,Princes Park,8394
Melbourne,Hawthorn,111,90,1988,7,Sat,14,5,regular,MCG,34773
Brisbane,Western Bulldogs,72,71,1988,7,Sun,15,5,regular,Gold Coast Stadium,10898
Richmond,North Melbourne,73,150,1988,7,Sun,15,5,regular,MCG,12880
Sydney,Brisbane,87,115,1988,8,Fri,20,5,regular,SCG,13322
Carlton,North Melbourne,134,121,1988,8,Sat,21,5,regular,Waverley Park,22978
Collingwood,Western Bulldogs,88,82,1988,8,Sat,21,5,regular,Victoria Park,22731
Essendon,Richmond,137,89,1988,8,Sat,21,5,regular,North Hobart,14568
Fitzroy,Melbourne,89,115,1988,8,Sat,21,5,regular,Princes Park,12747
Geelong,St Kilda,108,114,1988,8,Sun,22,5,regular,Skilled Stadium,20366
West Coast,Hawthorn,63,116,1988,8,Sun,22,5,regular,Patersons Stadium,27344
Essendon,Brisbane,194,54,1988,9,Fri,27,5,regular,MCG,26653
North Melbourne,Collingwood,35,83,1988,9,Sat,28,5,regular,Waverley Park,28849
Geelong,Fitzroy,133,100,1988,9,Sat,28,5,regular,Skilled Stadium,13968
Hawthorn,Western Bulldogs,154,65,1988,9,Sat,28,5,regular,Princes Park,12786
St Kilda,Melbourne,106,78,1988,9,Sat,28,5,regular,Gold Coast Stadium,21333
Richmond,Sydney,73,136,1988,9,Sat,28,5,regular,MCG,11468
West Coast,Carlton,87,100,1988,9,Sun,29,5,regular,Patersons Stadium,27663
Sydney,Essendon,77,55,1988,10,Fri,3,6,regular,SCG,14753
Western Bulldogs,Carlton,75,96,1988,10,Sat,4,6,regular,Western Oval,17515
Collingwood,Melbourne,71,84,1988,10,Sat,4,6,regular,Waverley Park,61163
Fitzroy,North Melbourne,157,124,1988,10,Sat,4,6,regular,Princes Park,8280
St Kilda,Hawthorn,121,137,1988,10,Sat,4,6,regular,MCG,25693
Brisbane,Geelong,109,162,1988,10,Sun,5,6,regular,Gold Coast Stadium,8736
Richmond,West Coast,116,75,1988,10,Sun,5,6,regular,MCG,7157
Sydney,North Melbourne,132,125,1988,11,Fri,10,6,regular,SCG,11729
Carlton,Fitzroy,144,101,1988,11,Sat,11,6,regular,Princes Park,21501
St Kilda,Western Bulldogs,51,78,1988,11,Sat,11,6,regular,Waverley Park,24149
Brisbane,Richmond,151,103,1988,11,Sun,12,6,regular,Gold Coast Stadium,13322
Geelong,Collingwood,64,103,1988,11,Mon,13,6,regular,Skilled Stadium,35322
Hawthorn,Essendon,118,68,1988,11,Mon,13,6,regular,Princes Park,27642
Melbourne,West Coast,93,73,1988,11,Mon,13,6,regular,MCG,28045
Richmond,Carlton,110,93,1988,12,Fri,17,6,regular,MCG,19458
Hawthorn,Brisbane,80,17,1988,12,Sat,18,6,regular,Princes Park,8176
St Kilda,Collingwood,30,51,1988,12,Sat,18,6,regular,Gold Coast Stadium,23880
Fitzroy,Essendon,51,33,1988,12,Sat,18,6,regular,Waverley Park,18854
Western Bulldogs,Geelong,56,30,1988,12,Sat,18,6,regular,Western Oval,13720
North Melbourne,Melbourne,74,61,1988,12,Sat,18,6,regular,MCG,18078
Sydney,West Coast,104,61,1988,12,Sun,19,6,regular,SCG,12664
North Melbourne,Brisbane,151,85,1988,13,Sat,25,6,regular,MCG,7764
Melbourne,Carlton,66,43,1988,13,Sat,25,6,regular,Waverley Park,37953
Collingwood,Sydney,68,23,1988,13,Sat,25,6,regular,Victoria Park,23031
Essendon,Western Bulldogs,75,99,1988,13,Sat,25,6,regular,North Hobart,15861
Hawthorn,Geelong,112,87,1988,13,Sat,25,6,regular,Princes Park,13867
St Kilda,Richmond,66,41,1988,13,Sat,25,6,regular,Gold Coast Stadium,17770
West Coast,Fitzroy,121,87,1988,13,Sun,26,6,regular,Patersons Stadium,15028
Sydney,Richmond,96,131,1988,14,Fri,1,7,regular,SCG,8008
Carlton,Collingwood,87,110,1988,14,Sat,2,7,regular,MCG,72906
Essendon,West Coast,112,85,1988,14,Sat,2,7,regular,North Hobart,10298
Fitzroy,North Melbourne,71,110,1988,14,Sat,2,7,regular,Waverley Park,10310
Western Bulldogs,Hawthorn,77,105,1988,14,Sat,2,7,regular,Western Oval,14338
Geelong,Melbourne,56,89,1988,14,Sat,2,7,regular,Skilled Stadium,17227
Brisbane,St Kilda,99,89,1988,14,Sun,3,7,regular,Gold Coast Stadium,10394
St Kilda,Carlton,65,69,1988,15,Sat,9,7,regular,Gold Coast Stadium,15416
Fitzroy,Collingwood,142,52,1988,15,Sat,9,7,regular,Princes Park,13841
Western Bulldogs,Richmond,80,55,1988,15,Sat,9,7,regular,Waverley Park,14721
Melbourne,Sydney,57,130,1988,15,Sat,9,7,regular,MCG,20269
Brisbane,Hawthorn,91,115,1988,15,Sun,10,7,regular,Gold Coast Stadium,14213
North Melbourne,Essendon,94,140,1988,15,Sun,10,7,regular,MCG,26755
West Coast,Geelong,126,106,1988,15,Sun,10,7,regular,Patersons Stadium,18537
West Coast,Brisbane,98,89,1988,16,Fri,15,7,regular,WACA,16074
Carlton,Geelong,141,98,1988,16,Sat,16,7,regular,Princes Park,17463
Melbourne,Collingwood,94,48,1988,16,Sat,16,7,regular,MCG,74964
Essendon,Fitzroy,110,66,1988,16,Sat,16,7,regular,North Hobart,14477
Richmond,St Kilda,115,98,1988,16,Sat,16,7,regular,Waverley Park,20199
North Melbourne,Western Bulldogs,86,113,1988,16,Sun,17,7,regular,MCG,16872
Sydney,Hawthorn,163,112,1988,16,Sun,17,7,regular,SCG,14591
Fitzroy,West Coast,134,64,1988,17,Fri,22,7,regular,MCG,7611
Carlton,Richmond,100,60,1988,17,Sat,23,7,regular,Princes Park,17333
Collingwood,North Melbourne,92,92,1988,17,Sat,23,7,regular,Victoria Park,16082
Geelong,Western Bulldogs,115,69,1988,17,Sat,23,7,regular,Skilled Stadium,13505
Melbourne,Hawthorn,68,137,1988,17,Sat,23,7,regular,Waverley Park,37307
St Kilda,Sydney,92,99,1988,17,Sat,23,7,regular,Gold Coast Stadium,11657
Brisbane,Essendon,74,103,1988,17,Sun,24,7,regular,Gold Coast Stadium,15950
Sydney,Geelong,88,151,1988,18,Fri,29,7,regular,SCG,12228
Fitzroy,Carlton,67,143,1988,18,Sat,30,7,regular,Princes Park,15430
Collingwood,St Kilda,114,80,1988,18,Sat,30,7,regular,Victoria Park,16408
Hawthorn,Essendon,88,62,1988,18,Sat,30,7,regular,Waverley Park,35662
North Melbourne,Richmond,109,140,1988,18,Sat,30,7,regular,MCG,11909
Western Bulldogs,Brisbane,84,43,1988,18,Sun,31,7,regular,Western Oval,11694
West Coast,Melbourne,122,78,1988,18,Sun,31,7,regular,Patersons Stadium,16266
Collingwood,Brisbane,122,76,1988,19,Fri,5,8,regular,MCG,20575
Carlton,Sydney,79,107,1988,19,Sat,6,8,regular,Waverley Park,18355
Essendon,Geelong,90,157,1988,19,Sat,6,8,regular,North Hobart,15636
Hawthorn,Fitzroy,178,104,1988,19,Sat,6,8,regular,Princes Park,12646
Western Bulldogs,St Kilda,132,63,1988,19,Sat,6,8,regular,Western Oval,10477
Richmond,Melbourne,149,131,1988,19,Sat,6,8,regular,MCG,20475
West Coast,North Melbourne,115,84,1988,19,Sun,7,8,regular,Patersons Stadium,18193
Richmond,Brisbane,86,100,1988,20,Fri,12,8,regular,MCG,15026
Carlton,North Melbourne,141,137,1988,20,Sat,13,8,regular,Princes Park,16469
Collingwood,Essendon,74,73,1988,20,Sat,13,8,regular,Waverley Park,52719
Melbourne,Western Bulldogs,100,110,1988,20,Sat,13,8,regular,MCG,27026
St Kilda,West Coast,88,97,1988,20,Sat,13,8,regular,Gold Coast Stadium,11074
Sydney,Fitzroy,160,97,1988,20,Sun,14,8,regular,SCG,13811
Geelong,Hawthorn,68,128,1988,20,Sun,14,8,regular,Skilled Stadium,23821
North Melbourne,Sydney,113,101,1988,21,Fri,19,8,regular,MCG,14772
Essendon,Melbourne,128,90,1988,21,Sat,20,8,regular,North Hobart,19163
Fitzroy,Western Bulldogs,127,113,1988,21,Sat,20,8,regular,Princes Park,12841
Geelong,Richmond,146,108,1988,21,Sat,20,8,regular,Skilled Stadium,14359
Hawthorn,St Kilda,123,78,1988,21,Sat,20,8,regular,Waverley Park,19222
Brisbane,Carlton,97,100,1988,21,Sun,21,8,regular,Gold Coast Stadium,16727
West Coast,Collingwood,111,51,1988,21,Sun,21,8,regular,Patersons Stadium,36638
Richmond,Fitzroy,157,54,1988,22,Fri,26,8,regular,MCG,19496
Melbourne,Carlton,96,66,1988,22,Sat,27,8,regular,MCG,50178
Collingwood,Geelong,129,94,1988,22,Sat,27,8,regular,Victoria Park,19771
Essendon,St Kilda,84,65,1988,22,Sat,27,8,regular,Waverley Park,26134
Hawthorn,North Melbourne,184,89,1988,22,Sat,27,8,regular,Princes Park,11903
Brisbane,Sydney,77,81,1988,22,Sun,28,8,regular,Gold Coast Stadium,12718
Western Bulldogs,West Coast,29,53,1988,22,Sun,28,8,regular,Western Oval,18456
Melbourne,West Coast,73,71,1988,23,Sat,3,9,finals,Waverley Park,43438
Carlton,Collingwood,145,107,1988,23,Sun,4,9,finals,MCG,83032
Hawthorn,Carlton,66,45,1988,23,Sat,10,9,finals,Waverley Park,60052
